GGAP,TFP
0.14,0.00628812
-0.2,0.030857571
0.24,0.02390165
0.24,-0.019141057
-0.06,-0.002937353
0.24,0.004241184
-0.62,0.026557776
0.14,-0.013104981
0.48,0.007546473
0.2,-0.004210568
2.6,-0.001394401
2.34,-0.010288234
3.06,0.032357266
0.14,2.229807478
0.4,0.000132806
0.42,0.002873921
0.52,0.004519791
0.94,-0.011806746
0.84,-0.006736321
0.64,-0.003385676
0.64,0.00366635
0.42,-0.006940275
0.62,-0.001250506
0.42,-0.019214721
0.62,-0.0013093
0.62,-0.003059284
0.52,0.035216123
1.12,0.004440814
1.54,0.009030396
1.12,0.028671755
1.14,0.015878426
1.12,0.00801579
1.74,0.016664828
1.54,0.013962641
1.32,-0.00536676
1.52,0.013072549
1.02,0.003882442
1.9,-0.013301005
0.14,0.007988708
0.22,0.000258412
0.1,0.006671248
-0.1,0.04041667
0.2,0.009674024
-0.28,-0.010031423
0.12,0.009990482
-0.2,0.027898239
0.22,0.0272353
0.22,-0.011547281
-0.08,-0.003241726
0.22,0.013763451
-0.66,0.016181276
0.12,-0.017165634
0.34,-0.002559469
0.2,0.002249382
2.6,0.002402423
2.32,-0.012823445
2.98,0.032563935
0.12,-0.636458616
0.4,-0.00191946
0.4,0.005898562
0.5,0.005702361
0.9,-0.007128804
0.8,0.001051179
0.6,-0.008691541
0.6,0.005647531
0.4,-0.004691769
0.6,0.002525192
0.4,-0.012782093
0.6,0.000747005
0.6,-0.019032041
0.5,0.024436217
1.1,0.017537416
1.5,0.01002529
1.1,0.019653352
1.1,0.011667581
1.1,0.009195511
1.7,-0.004247007
1.5,0.013240582
1.3,-0.00529706
1.5,0.011654475
1,0.0017751
1.9,-0.016950308
0.1,0.012498314
0.2,0.00348015
0.1,0.005422967
-0.1,0.039823243
0.2,0.007572162
-0.3,0.005324137
0.1,0.013650967
-0.2,0.029802848
0.2,0.028206352
0.2,0.013537641
-0.1,-0.006177739
0.2,0.013299576
-0.7,0.003476702
0.1,-0.011503289
0.2,-0.012169027
0.2,0.009595884
2.6,0.009134916
2.3,-0.015890987
2.9,0.007732347
0.1,-0.268069868
0.4,-8.56E-05
0.38,0.007214958
0.48,0.006379607
0.86,-0.008901567
0.78,0.0158149
0.56,-0.001418228
0.58,0.007671043
0.38,-0.008875391
0.58,0.003429388
0.38,-0.002448321
0.58,0.002502145
0.58,-0.012052931
0.46,0.027675601
1.08,0.020278327
1.48,0.007308048
1.06,0.007530414
1.06,0.004233404
1.08,0.006839919
1.64,-0.007348647
1.48,0.011037733
1.28,0.002061744
1.48,0.008967171
0.96,0.001074055
1.88,-0.005591104
0.08,0.012919119
0.2,0.003928128
0.08,0.007870061
-0.12,0.028144169
0.2,0.006526374
-0.3,0.007773561
0.08,0.021284964
-0.2,0.031765678
0.2,0.02683428
0.18,0.026502098
-0.12,-0.004195346
0.18,0.014035521
-0.7,0.001645949
0.08,-0.01140207
0.06,-0.009642241
0.18,0.011983793
2.58,0.021794522
2.26,-0.015001569
2.82,-0.010415751
0.1,-2.239852585
0.4,0.00055576
0.36,0.011082878
0.46,0.00646021
0.82,0.000204939
0.76,0.010383089
0.52,0.00417442
0.56,0.010616446
0.36,-0.005284346
0.56,0.005712855
0.36,0.003461903
0.56,0.001100692
0.56,-0.004655603
0.42,0.01566671
1.06,0.014690704
1.46,0.0037968
1.02,0.007734076
1.02,-0.005719282
1.06,-3.24E-05
1.58,-0.009647016
1.46,0.00790887
1.26,0.006056523
1.46,0.01255429
0.92,0.005208935
1.86,-0.002275469
0.06,0.010589267
0.2,0.005378702
0.06,0.004699985
-0.14,0.019106753
0.2,0.00748496
-0.3,0.011873685
0.06,0.025775369
-0.2,0.036241063
0.2,0.024309984
0.16,0.025392481
-0.14,-0.007382833
0.16,0.012521865
-0.7,-0.018084636
0.06,-0.007179396
-0.08,0.016181424
0.16,0.016388497
2.56,0.018825054
2.22,-0.022043622
2.74,-0.01291799
0.1,-1.941337861
0.4,0.000801873
0.34,0.01049676
0.44,0.011075563
0.78,0.006043165
0.74,0.007748094
0.48,0.00550863
0.54,0.00603869
0.34,-0.001244727
0.54,0.005555863
0.34,-0.000148383
0.54,0.000267431
0.54,0.00121481
0.38,-0.009823427
1.04,-0.003542094
1.44,0.008558003
0.98,0.007697236
0.98,-0.025052069
1.04,-0.036525238
1.52,-0.005574528
1.44,-0.018005833
1.24,0.007207543
1.44,0.006483948
0.88,0.007412769
1.84,-0.013675411
0.04,0.011833649
0.2,0.004498855
0.04,0.006416251
-0.16,0.010932931
0.2,0.005593153
-0.3,0.003126166
0.04,0.026084158
-0.2,0.036235392
0.2,0.017977876
0.14,0.020023717
-0.16,-0.007654432
0.14,0.010171024
-0.7,-0.024766959
0.04,-0.009302062
-0.22,0.029666906
0.14,0.021119873
2.54,0.020591661
2.18,-0.02277376
2.66,-0.004266248
0.1,0.070492612
0.4,2.62E-05
0.32,0.009943394
0.42,0.010538224
0.74,0.008402475
0.72,0.007567934
0.44,-0.000721221
0.52,0.007373695
0.32,0.000566354
0.52,0.000969649
0.32,-0.001583086
0.52,-0.004049586
0.52,-0.005409602
0.34,-0.002850279
1.02,-0.009011529
1.42,0.008675756
0.94,0.004964395
0.94,-0.027649514
1.02,-0.038917134
1.46,0.000350349
1.42,-0.025456308
1.22,0.00512421
1.42,0.016330878
0.84,0.007965979
1.82,-0.006145094
0.02,0.013184806
0.2,0.004921286
0.02,0.007994796
-0.18,-0.003761967
0.2,0.003521657
-0.3,-0.010034141
0.02,0.021880132
-0.2,0.037748327
0.2,0.010251531
0.12,0.017589934
-0.18,-0.014025561
0.12,0.000801376
-0.7,-0.017092585
0.02,-0.011476879
-0.36,0.034922768
0.12,0.018714332
2.52,0.021522813
2.14,-0.017259475
2.58,-0.013767555
0.1,-0.429690039
0.4,0.001804969
0.3,0.013079646
0.4,0.01159909
0.7,0.011053136
0.7,0.009559852
0.4,0.002400692
0.5,0.005964442
0.3,-0.002809396
0.5,0.001232742
0.3,0.001147448
0.5,-0.004203157
0.5,0.01400032
0.3,-0.003525838
1,-0.011926928
1.4,0.006514235
0.9,0.006740608
0.9,-0.019418132
1,-0.038291019
1.4,-0.001527126
1.4,-0.02291317
1.2,0.008466477
1.4,0.017247651
0.8,0.012278276
1.8,-0.003612125
0,0.011100277
0.2,0.008396548
0,0.010421998
-0.2,-0.002091815
0.2,0.006111915
-0.3,-0.012492163
0,0.02508533
-0.2,0.034440735
0.2,0.009164696
0.1,0.02006264
-0.2,-0.014880578
0.1,0.001940729
-0.7,-0.010625108
0,-0.022707218
-0.5,0.045747444
0.1,0.020122351
2.5,0.011346775
2.1,-0.013181465
2.5,-0.006992939
0.1,0.109050255
0.38,5.27E-05
0.3,0.014420724
0.4,0.012254699
0.66,0.012184301
0.66,0.016874718
0.36,-0.000156329
0.48,0.008046804
0.28,-0.002488575
0.48,0.001608971
0.3,0.004928768
0.48,-0.005734754
0.48,0.002071675
0.28,-0.001793162
0.98,-0.010662259
1.36,0.007319888
0.88,0.008497841
0.88,-0.021846871
0.96,-0.038968174
1.34,-0.018717789
1.38,-0.027385016
1.18,0.009126199
1.36,0.016468989
0.78,0.012835748
1.78,-0.018697795
-0.02,0.014116904
0.18,0.011000817
-0.02,0.009009213
-0.2,-0.014860133
0.2,0.002215445
-0.32,-0.015070142
-0.02,0.023131649
-0.2,0.029100992
0.18,0.006716816
0.08,0.01696501
-0.2,-0.011069674
0.08,-0.00261512
-0.7,-0.007690774
0,-0.017128054
-0.64,0.039686752
0.08,0.018674258
2.46,0.004309818
2.04,-0.013993144
2.42,-0.016084121
0.08,-0.603280951
0.36,0.001509669
0.3,0.011791728
0.4,0.012529731
0.62,0.008101485
0.62,0.021237685
0.32,0.00597627
0.46,0.008747131
0.26,-0.003267053
0.46,-0.003657263
0.3,0.003418885
0.46,-0.006314737
0.46,-0.009936574
0.26,0.014968928
0.96,-0.001939502
1.32,0.008715057
0.86,0.005879767
0.86,-0.023224165
0.92,-0.030327452
1.28,-0.010536623
1.36,-0.022000655
1.16,0.005126024
1.32,0.020242208
0.76,0.009271635
1.76,-0.014653793
-0.04,0.010895495
0.16,0.010325925
-0.04,0.00990278
-0.2,-0.038809672
0.2,-0.001016472
-0.34,-0.016387727
-0.04,0.01687646
-0.2,0.021412316
0.16,0.005518158
0.06,0.019077679
-0.2,-0.014220408
0.06,-0.003066529
-0.7,-0.014172325
0,0.008585917
-0.78,-0.005052762
0.06,0.017754623
2.42,0.003656892
1.98,-0.012942487
